Full date (TH),% change,A1,A2,A3,A4,A5,A6,A7,A8,A9,A0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B0,Label
1/2/1979,0.00%,Dec,Jan,Dec,Nov,Jul,Nov,Aug,Aug,Jul,Oct,Sep,Sep,Oct,Mar,Nov,Jul,Sep,Dec,Oct,Apr,1
1/3/1979,0.35%,Dec,Feb,Dec,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Sep,Jan,Nov,Apr,Nov,Jul,Sep,Dec,Oct,Apr,0
1/4/1979,-3.62%,Dec,Feb,Dec,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Sep,Jun,Nov,Apr,Nov,Jul,Sep,Dec,Oct,Apr,-1
1/5/1979,2.08%,Dec,Mar,Dec,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Oct,Oct,Nov,May,Nov,Jul,Sep,Dec,Oct,Apr,1
1/6/1979,1.05%,Dec,Mar,Dec,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Oct,Feb,Nov,May,Nov,Aug,Sep,Dec,Oct,Apr,1
1/9/1979,-1.06%,Dec,May,Dec,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Nov,Feb,Dec,Jul,Nov,Sep,Sep,Nov,Sep,Apr,-1
1/10/1979,0.40%,Dec,May,Dec,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Nov,Jun,Dec,Jul,Nov,Sep,Sep,Nov,Sep,Apr,0
1/11/1979,-1.47%,Dec,Jun,Dec,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Nov,Oct,Dec,Aug,Nov,Sep,Sep,Nov,Sep,Apr,-1
1/12/1979,-0.02%,Dec,Jun,Jan,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Dec,Feb,Jan,Aug,Nov,Oct,Sep,Nov,Sep,Apr,0
1/13/1979,-1.38%,Dec,Jun,Jan,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Dec,May,Jan,Sep,Nov,Oct,Sep,Nov,Sep,Apr,-1
1/16/1979,-0.34%,Jan,Aug,Jan,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Jan,Apr,Jan,Oct,Oct,Nov,Sep,Nov,Aug,Apr,0
1/17/1979,1.75%,Jan,Aug,Jan,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Jan,Aug,Feb,Nov,Oct,Nov,Sep,Nov,Aug,Apr,1
1/18/1979,2.99%,Jan,Aug,Jan,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Feb,Nov,Feb,Nov,Oct,Nov,Sep,Nov,Aug,Apr,1
1/19/1979,1.98%,Jan,Sep,Jan,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Feb,Mar,Feb,Dec,Oct,Dec,Sep,Nov,Aug,Apr,1
1/20/1979,-0.52%,Jan,Sep,Jan,Jan,Jul,Nov,Aug,Aug,Jul,Oct,Feb,Jul,Feb,Jan,Oct,Dec,Sep,Nov,Aug,Apr,0
1/23/1979,1.93%,Jan,Oct,Jan,Jan,Jul,Nov,Aug,Aug,Jul,Oct,Mar,Jun,Mar,Feb,Oct,Jan,Sep,Nov,Jul,Apr,1
1/24/1979,-2.13%,Jan,Nov,Jan,Jan,Jul,Nov,Aug,Aug,Jul,Oct,Mar,Oct,Mar,Mar,Oct,Jan,Sep,Nov,Jul,Apr,-1
1/25/1979,2.65%,Jan,Nov,Jan,Jan,Jul,Nov,Aug,Aug,Jul,Oct,Apr,Mar,Apr,Mar,Oct,Feb,Sep,Nov,Jul,Apr,1
1/26/1979,-0.95%,Jan,Dec,Jan,Jan,Jul,Nov,Aug,Aug,Jul,Oct,Apr,Jul,Apr,Apr,Oct,Feb,Sep,Nov,Jul,Apr,0
1/27/1979,0.68%,Jan,Dec,Jan,Jan,Jul,Nov,Aug,Aug,Jul,Oct,Apr,Nov,Apr,Apr,Oct,Feb,Sep,Nov,Jul,Apr,0
1/30/1979,-0.11%,Jan,Feb,Jan,Jan,Jul,Nov,Aug,Aug,Jun,Oct,May,Dec,May,Jun,Oct,Mar,Sep,Nov,Jun,Apr,0
1/31/1979,-0.72%,Jan,Feb,Jan,Jan,Jul,Nov,Aug,Aug,Jun,Oct,May,Apr,May,Jun,Oct,Mar,Sep,Nov,Jun,Apr,0
2/1/1979,0.09%,Jan,Mar,Jan,Jan,Jul,Dec,Aug,Aug,Jun,Oct,Jun,Aug,May,Jul,Oct,Apr,Sep,Nov,Jun,Apr,0
2/2/1979,-1.86%,Jan,Mar,Jan,Jan,Jul,Dec,Aug,Aug,Jun,Oct,Jun,Jan,May,Jul,Oct,Apr,Sep,Nov,Jun,Apr,-1
2/3/1979,0.41%,Jan,Apr,Jan,Jan,Jul,Dec,Aug,Aug,Jun,Oct,Jun,May,Jun,Aug,Oct,Apr,Aug,Nov,May,Apr,0
2/6/1979,5.56%,Jan,May,Jan,Feb,Jul,Dec,Aug,Aug,Jun,Oct,Jul,May,Jun,Oct,Oct,May,Aug,Nov,May,Apr,1
2/7/1979,0.58%,Jan,May,Jan,Feb,Jul,Dec,Aug,Aug,Jun,Oct,Aug,Sep,Jul,Oct,Oct,Jun,Aug,Nov,May,Apr,0
2/8/1979,2.90%,Jan,Jun,Jan,Feb,Jul,Dec,Aug,Aug,Jun,Oct,Aug,Dec,Jul,Nov,Sep,Jun,Aug,Nov,May,Apr,1
2/9/1979,-0.44%,Jan,Jun,Jan,Feb,Jul,Dec,Aug,Aug,Jun,Oct,Aug,Apr,Jul,Nov,Sep,Jun,Aug,Nov,Apr,Apr,0
2/10/1979,-1.50%,Jan,Jul,Jan,Feb,Jul,Dec,Aug,Aug,Jun,Oct,Sep,Aug,Jul,Dec,Sep,Jun,Aug,Nov,Apr,Apr,-1
2/13/1979,-1.01%,Jan,Aug,Jan,Feb,Jul,Dec,Aug,Aug,Jun,Oct,Sep,Jul,Aug,Jan,Sep,Jul,Aug,Nov,Apr,Apr,-1
2/14/1979,-1.49%,Feb,Aug,Jan,Feb,Jul,Dec,Aug,Aug,Jun,Oct,Oct,Oct,Aug,Jan,Sep,Aug,Aug,Nov,Apr,Apr,-1
2/15/1979,0.02%,Feb,Sep,Jan,Feb,Jul,Dec,Aug,Aug,Jun,Oct,Oct,Feb,Aug,Feb,Sep,Aug,Aug,Nov,Mar,Apr,0
2/16/1979,2.95%,Feb,Sep,Jan,Feb,Jul,Dec,Aug,Aug,Jun,Oct,Oct,Jun,Sep,Feb,Sep,Aug,Aug,Nov,Mar,Apr,1
2/17/1979,-0.28%,Feb,Sep,Jan,Feb,Jul,Dec,Aug,Aug,Jun,Oct,Nov,Sep,Sep,Mar,Sep,Sep,Aug,Nov,Mar,Apr,0
2/20/1979,0.43%,Feb,Nov,Feb,Feb,Jul,Dec,Aug,Aug,Jun,Oct,Dec,Sep,Oct,Apr,Sep,Oct,Aug,Nov,Mar,Apr,0
2/21/1979,-0.44%,Feb,Nov,Feb,Feb,Jul,Dec,Aug,Aug,Jun,Oct,Dec,Jan,Oct,Apr,Sep,Oct,Aug,Nov,Mar,Apr,0
2/22/1979,1.52%,Feb,Dec,Feb,Feb,Jul,Dec,Aug,Aug,Jun,Oct,Dec,May,Oct,Apr,Sep,Oct,Aug,Nov,Feb,Apr,1
2/23/1979,0.64%,Feb,Dec,Feb,Feb,Jul,Dec,Aug,Aug,Jun,Oct,Jan,Oct,Oct,May,Sep,Oct,Aug,Nov,Feb,Apr,0
2/24/1979,-0.53%,Feb,Jan,Feb,Feb,Jul,Dec,Aug,Aug,Jun,Oct,Jan,Feb,Nov,May,Sep,Nov,Aug,Nov,Feb,Apr,0
2/27/1979,-0.96%,Feb,Feb,Feb,Feb,Jul,Dec,Aug,Aug,Jun,Oct,Feb,Mar,Nov,Jun,Sep,Dec,Aug,Nov,Feb,Apr,0
2/28/1979,-0.28%,Feb,Mar,Feb,Mar,Jul,Dec,Aug,Aug,Jun,Oct,Feb,Jul,Dec,Jul,Sep,Dec,Aug,Nov,Jan,Apr,0
3/1/1979,1.37%,Feb,Mar,Feb,Mar,Jul,Jan,Aug,Aug,Jun,Oct,Feb,Nov,Dec,Jul,Sep,Jan,Aug,Nov,Jan,Apr,1
3/2/1979,-0.99%,Feb,Mar,Feb,Mar,Jul,Jan,Aug,Aug,Jun,Oct,Mar,Mar,Dec,Jul,Sep,Jan,Aug,Nov,Jan,Apr,0
3/3/1979,-0.32%,Feb,Apr,Feb,Mar,Jul,Jan,Aug,Aug,Jun,Oct,Mar,Jul,Dec,Jul,Sep,Jan,Aug,Nov,Jan,Apr,0
3/6/1979,-3.97%,Feb,May,Feb,Mar,Jul,Jan,Aug,Aug,Jun,Oct,Apr,Jul,Jan,Jul,Sep,Mar,Aug,Nov,Dec,Apr,-1
3/7/1979,0.67%,Feb,Jun,Feb,Mar,Jul,Jan,Aug,Aug,Jun,Oct,Apr,Nov,Jan,Jul,Sep,Mar,Aug,Nov,Dec,Apr,0
3/8/1979,1.04%,Feb,Jun,Feb,Mar,Jul,Jan,Aug,Aug,Jun,Oct,Apr,Mar,Jan,Aug,Sep,Mar,Aug,Nov,Dec,Apr,1
3/9/1979,-1.26%,Feb,Jul,Feb,Mar,Jul,Jan,Aug,Aug,Jun,Oct,May,Jul,Feb,Aug,Sep,Apr,Aug,Nov,Dec,Apr,-1
3/10/1979,0.75%,Feb,Jul,Feb,Mar,Jul,Jan,Aug,Aug,Jun,Oct,May,Oct,Feb,Aug,Sep,Apr,Aug,Nov,Dec,Apr,0
3/13/1979,-0.41%,Feb,Aug,Feb,Mar,Jul,Jan,Aug,Aug,Jun,Oct,Jun,Sep,Mar,Jul,Aug,May,Aug,Oct,Nov,Apr,0
3/14/1979,-0.38%,Feb,Sep,Feb,Mar,Jul,Jan,Aug,Aug,Jun,Oct,Jun,Jan,Mar,Jul,Aug,Jun,Jul,Oct,Nov,Apr,0
3/15/1979,0.17%,Mar,Sep,Feb,Mar,Jul,Jan,Aug,Aug,Jun,Oct,Jul,May,Mar,Jul,Aug,Jun,Jul,Oct,Nov,Apr,0
3/16/1979,0.25%,Mar,Sep,Feb,Mar,Jul,Jan,Aug,Aug,Jun,Oct,Jul,Aug,Mar,Jul,Aug,Jun,Jul,Oct,Nov,Apr,0
3/17/1979,1.62%,Mar,Oct,Feb,Feb,Jul,Jan,Aug,Aug,Jun,Oct,Jul,Dec,Mar,Jun,Aug,Jul,Jul,Oct,Nov,Apr,1
3/20/1979,-0.72%,Mar,Nov,Feb,Feb,Jul,Jan,Aug,Aug,Jun,Oct,Aug,Dec,Apr,Jun,Aug,Aug,Jul,Oct,Oct,Apr,0
3/21/1979,-0.06%,Mar,Dec,Feb,Feb,Jul,Jan,Aug,Aug,Jun,Oct,Aug,Apr,Apr,May,Aug,Aug,Jul,Oct,Oct,Apr,0
3/22/1979,-0.91%,Mar,Dec,Feb,Feb,Jul,Jan,Aug,Aug,Jun,Oct,Sep,Aug,May,May,Aug,Aug,Jul,Oct,Oct,Apr,0
3/23/1979,1.23%,Mar,Dec,Feb,Feb,Jul,Jan,Aug,Aug,Jun,Oct,Sep,Dec,May,May,Aug,Sep,Jul,Oct,Oct,Apr,1
3/24/1979,-0.14%,Mar,Jan,Feb,Feb,Jul,Jan,Aug,Aug,Jun,Oct,Sep,May,May,May,Aug,Sep,Jul,Oct,Oct,Apr,0
3/27/1979,1.13%,Mar,Feb,Feb,Feb,Jul,Feb,Aug,Aug,May,Oct,Oct,May,Jun,Apr,Aug,Oct,Jul,Oct,Sep,Apr,1
3/28/1979,-0.37%,Mar,Mar,Feb,Feb,Jul,Feb,Aug,Aug,May,Oct,Oct,Oct,Jun,Apr,Aug,Nov,Jul,Oct,Sep,Apr,0
3/29/1979,0.02%,Mar,Mar,Feb,Feb,Jul,Feb,Aug,Aug,May,Oct,Nov,Feb,Jun,Apr,Aug,Nov,Jul,Oct,Sep,Apr,0
3/30/1979,-1.19%,Mar,Apr,Mar,Feb,Jul,Feb,Aug,Aug,May,Oct,Nov,Jun,Jul,Apr,Aug,Nov,Jul,Oct,Sep,Apr,-1
3/31/1979,-0.58%,Mar,Apr,Mar,Feb,Jul,Feb,Aug,Aug,May,Oct,Nov,Oct,Jul,Apr,Aug,Dec,Jul,Oct,Aug,Apr,0
4/3/1979,-0.17%,Mar,Jun,Mar,Feb,Jul,Feb,Aug,Aug,May,Oct,Dec,Oct,Jul,Apr,Aug,Jan,Jul,Oct,Aug,Apr,0
4/4/1979,0.13%,Mar,Jun,Mar,Feb,Jul,Feb,Aug,Aug,May,Oct,Jan,Feb,Aug,May,Aug,Jan,Jul,Oct,Aug,Apr,0
4/5/1979,-0.10%,Mar,Jun,Mar,Feb,Jul,Feb,Aug,Aug,May,Oct,Jan,Jun,Aug,May,Aug,Jan,Jul,Oct,Aug,Apr,0
4/6/1979,0.38%,Mar,Jul,Mar,Feb,Jul,Feb,Aug,Aug,May,Oct,Jan,Sep,Aug,May,Aug,Feb,Jul,Oct,Aug,Apr,0
4/7/1979,-0.37%,Mar,Jul,Mar,Feb,Jul,Feb,Aug,Aug,May,Oct,Jan,Jan,Aug,May,Aug,Feb,Jul,Oct,Jul,Apr,0
4/10/1979,0.19%,Mar,Aug,Mar,Feb,Jul,Feb,Aug,Aug,May,Oct,Feb,Dec,Sep,Jun,Aug,Mar,Jul,Oct,Jul,Apr,0
4/11/1979,-0.19%,Mar,Sep,Mar,Feb,Jul,Feb,Aug,Aug,May,Oct,Mar,Mar,Sep,Jun,Aug,Mar,Jul,Oct,Jul,Apr,0
4/12/1979,-0.58%,Mar,Sep,Mar,Mar,Jul,Feb,Aug,Aug,May,Oct,Mar,Jul,Oct,Jul,Aug,Apr,Jul,Oct,Jul,Apr,0
4/13/1979,-1.85%,Mar,Oct,Mar,Mar,Jul,Feb,Aug,Aug,May,Oct,Mar,Nov,Oct,Jul,Aug,Apr,Jul,Oct,Jun,Apr,-1
4/14/1979,0.00%,Mar,Oct,Mar,Mar,Jul,Feb,Aug,Aug,May,Oct,Mar,Mar,Oct,Jul,Aug,Apr,Jul,Oct,Jun,Apr,0
4/17/1979,0.00%,Apr,Nov,Mar,Mar,Jul,Feb,Aug,Aug,May,Oct,Apr,Mar,Nov,Aug,Sep,Jun,Jul,Oct,Jun,Apr,0
4/18/1979,-0.88%,Apr,Dec,Mar,Mar,Jul,Feb,Aug,Aug,May,Oct,May,Jul,Nov,Sep,Sep,Jun,Jul,Oct,Jun,Apr,0
4/19/1979,0.56%,Apr,Dec,Mar,Mar,Jul,Feb,Aug,Aug,May,Oct,May,Nov,Nov,Sep,Sep,Jun,Jul,Oct,May,Apr,0
4/20/1979,3.30%,Apr,Jan,Mar,Mar,Jul,Mar,Aug,Aug,May,Oct,May,Mar,Nov,Oct,Sep,Jul,Jul,Oct,May,Apr,1
4/21/1979,-1.87%,Apr,Jan,Mar,Mar,Jul,Mar,Aug,Aug,May,Oct,Jun,Jul,Dec,Oct,Sep,Jul,Jul,Oct,May,Mar,-1
4/24/1979,0.19%,Apr,Mar,Mar,Mar,Jul,Mar,Aug,Aug,May,Oct,Jun,Aug,Dec,Dec,Sep,Aug,Jul,Oct,May,Mar,0
4/25/1979,1.20%,Apr,Mar,Mar,Mar,Jul,Mar,Aug,Aug,May,Oct,Jul,Dec,Jan,Dec,Sep,Sep,Jul,Oct,May,Mar,1
4/26/1979,0.88%,Apr,Apr,Mar,Mar,Jul,Mar,Aug,Aug,May,Oct,Jul,May,Jan,Jan,Sep,Sep,Jul,Oct,Apr,Mar,0
4/27/1979,0.17%,Apr,Apr,Mar,Mar,Jul,Mar,Aug,Aug,May,Oct,Jul,Sep,Jan,Jan,Sep,Sep,Jul,Oct,Apr,Mar,0
4/28/1979,0.62%,Apr,May,Mar,Mar,Jul,Mar,Aug,Aug,May,Oct,Aug,Jan,Jan,Jan,Sep,Oct,Jul,Oct,Apr,Mar,0
5/1/1979,0.66%,Apr,Jun,Mar,Mar,Jul,Mar,Aug,Aug,May,Oct,Aug,Jan,Feb,Mar,Sep,Nov,Jul,Oct,Apr,Mar,0
5/2/1979,0.82%,Apr,Jun,Mar,Apr,Jul,Mar,Aug,Aug,May,Oct,Sep,Apr,Feb,Apr,Sep,Nov,Jul,Oct,Mar,Mar,0
5/3/1979,-0.40%,Apr,Jul,Mar,Apr,Jul,Mar,Aug,Aug,May,Oct,Sep,Aug,Feb,Apr,Sep,Nov,Jul,Oct,Mar,Mar,0
5/4/1979,0.08%,Apr,Jul,Mar,Apr,Jul,Mar,Aug,Aug,May,Oct,Sep,Dec,Mar,May,Sep,Dec,Jul,Oct,Mar,Mar,0
5/5/1979,0.79%,Apr,Jul,Mar,Apr,Jul,Mar,Aug,Aug,May,Oct,Oct,Mar,Mar,May,Sep,Dec,Jul,Oct,Mar,Mar,0
5/8/1979,0.00%,Apr,Sep,Mar,Apr,Jul,Mar,Aug,Aug,May,Oct,Oct,Feb,Mar,Jul,Sep,Jan,Jul,Oct,Feb,Mar,0
5/9/1979,0.20%,Apr,Sep,Apr,Apr,Jul,Mar,Aug,Aug,May,Oct,Nov,Jun,Apr,Jul,Sep,Feb,Jul,Oct,Feb,Mar,0
5/10/1979,-0.40%,Apr,Oct,Apr,Apr,Jul,Mar,Aug,Aug,May,Oct,Nov,Oct,Apr,Aug,Sep,Feb,Jul,Oct,Feb,Mar,0
5/11/1979,1.73%,Apr,Oct,Apr,Apr,Jul,Mar,Aug,Aug,May,Oct,Nov,Feb,Apr,Sep,Sep,Feb,Jul,Oct,Feb,Mar,1
5/12/1979,-0.30%,Apr,Oct,Apr,Apr,Jul,Mar,Aug,Aug,May,Oct,Dec,May,Apr,Sep,Sep,Mar,Jul,Oct,Feb,Mar,0
5/15/1979,-0.20%,Apr,Dec,Apr,Apr,Jul,Apr,Aug,Aug,May,Oct,Dec,May,May,Nov,Sep,Apr,Jul,Sep,Jan,Mar,0
5/16/1979,1.79%,May,Dec,Apr,Apr,Jul,Apr,Aug,Aug,May,Oct,Jan,Oct,May,Nov,Sep,Apr,Jul,Sep,Jan,Mar,1
5/17/1979,0.39%,May,Jan,Apr,Apr,Jul,Apr,Aug,Aug,May,Oct,Jan,Feb,May,Dec,Sep,May,Jul,Sep,Jan,Mar,0
5/18/1979,0.12%,May,Jan,Apr,May,Jul,Apr,Aug,Aug,May,Oct,Jan,Jun,Jun,Jan,Sep,May,Jul,Sep,Jan,Mar,0
5/19/1979,-0.16%,May,Feb,Apr,May,Jul,Apr,Aug,Aug,May,Oct,Feb,Oct,Jun,Jan,Oct,May,Jul,Sep,Jan,Mar,0
5/22/1979,2.18%,May,Mar,Apr,May,Jul,Apr,Aug,Aug,Apr,Oct,Mar,Nov,Jul,Mar,Oct,Jun,Jul,Sep,Dec,Mar,1
5/23/1979,1.30%,May,Mar,Apr,May,Jul,Apr,Aug,Aug,Apr,Oct,Mar,Mar,Jul,Mar,Oct,Jul,Jul,Sep,Dec,Mar,1
5/24/1979,-0.47%,May,Apr,Apr,May,Jul,Apr,Aug,Aug,Apr,Oct,Mar,Jul,Jul,Apr,Oct,Jul,Jul,Sep,Dec,Mar,0
5/25/1979,-0.15%,May,Apr,Apr,May,Jul,Apr,Aug,Aug,Apr,Oct,Mar,Dec,Jul,May,Oct,Jul,Jul,Sep,Dec,Mar,0
5/26/1979,2.60%,May,May,Apr,May,Jul,Apr,Aug,Aug,Apr,Oct,Apr,Apr,Jul,May,Oct,Aug,Jul,Sep,Dec,Mar,1
5/29/1979,0.00%,May,Jun,Apr,May,Jul,Apr,Aug,Aug,Apr,Oct,May,Mar,Aug,Jul,Oct,Sep,Jul,Sep,Nov,Mar,0
5/30/1979,1.18%,May,Jul,Apr,May,Jul,Apr,Aug,Aug,Apr,Oct,May,Jul,Aug,Jul,Oct,Sep,Jul,Sep,Nov,Mar,1
5/31/1979,-1.30%,May,Jul,Apr,May,Jul,Apr,Aug,Aug,Apr,Oct,May,Nov,Sep,Aug,Oct,Sep,Jul,Sep,Nov,Mar,-1
6/1/1979,1.61%,May,Jul,Apr,May,Jul,Apr,Aug,Aug,Apr,Oct,May,Feb,Sep,Aug,Oct,Oct,Jul,Sep,Nov,Mar,1
6/2/1979,0.18%,May,Aug,Apr,May,Jul,Apr,Aug,Aug,Apr,Oct,Jun,Jun,Sep,Sep,Oct,Oct,Jul,Sep,Oct,Mar,0
6/5/1979,-0.80%,May,Sep,Apr,Jun,Jul,Apr,Aug,Aug,Apr,Oct,Jul,May,Oct,Nov,Oct,Nov,Jul,Sep,Oct,Mar,0
6/6/1979,0.68%,May,Sep,Apr,Jun,Jul,Apr,Aug,Aug,Apr,Oct,Jul,Sep,Oct,Nov,Oct,Dec,Jul,Sep,Oct,Mar,0
6/7/1979,1.91%,May,Oct,Apr,Jun,Jul,Apr,Aug,Aug,Apr,Oct,Jul,Dec,Oct,Dec,Oct,Dec,Jul,Sep,Oct,Mar,1
6/8/1979,-1.41%,May,Oct,Apr,Jun,Jul,Apr,Aug,Aug,Apr,Oct,Jul,Apr,Oct,Dec,Oct,Dec,Jul,Sep,Oct,Mar,-1
6/9/1979,1.43%,May,Nov,Apr,Jun,Jul,May,Aug,Aug,Apr,Oct,Aug,Aug,Nov,Jan,Oct,Jan,Jul,Sep,Sep,Mar,1
6/12/1979,0.84%,May,Dec,Apr,Jun,Jul,May,Aug,Aug,Apr,Oct,Sep,Aug,Nov,Feb,Nov,Feb,Jul,Sep,Sep,Mar,0
6/13/1979,-1.63%,May,Dec,Apr,Jun,Jul,May,Aug,Aug,Apr,Oct,Sep,Dec,Nov,Feb,Nov,Feb,Jul,Sep,Sep,Mar,-1
6/14/1979,-0.41%,May,Jan,Apr,Jun,Jul,May,Aug,Aug,Apr,Oct,Sep,May,Dec,Mar,Nov,Mar,Jul,Sep,Sep,Mar,0
6/15/1979,0.87%,May,Jan,Apr,Jun,Jul,May,Aug,Aug,Apr,Oct,Sep,Sep,Dec,Mar,Nov,Mar,Jul,Sep,Aug,Mar,0
6/16/1979,0.36%,Jun,Feb,Apr,Jun,Jul,May,Aug,Aug,Apr,Oct,Oct,Jan,Dec,Apr,Nov,Mar,Jul,Sep,Aug,Mar,0
6/19/1979,-0.71%,Jun,Mar,May,Jun,Jul,May,Aug,Aug,Apr,Oct,Nov,Feb,Jan,May,Nov,Apr,Jul,Sep,Aug,Mar,0
6/20/1979,0.83%,Jun,Apr,May,Jun,Jul,May,Aug,Aug,Apr,Oct,Nov,Jun,Jan,May,Nov,May,Jul,Sep,Aug,Mar,0
6/21/1979,0.37%,Jun,Apr,May,Jun,Jul,May,Aug,Aug,Apr,Oct,Nov,Oct,Jan,Jun,Nov,May,Jul,Sep,Jul,Mar,0
6/22/1979,0.34%,Jun,May,May,Jun,Jul,May,Aug,Aug,Apr,Oct,Nov,Feb,Jan,Jun,Nov,Jun,Jul,Sep,Jul,Mar,0
6/23/1979,0.41%,Jun,May,May,Jul,Jul,May,Aug,Aug,Apr,Oct,Dec,Jun,Feb,Apr,Nov,Jun,Jul,Sep,Jul,Mar,0
6/26/1979,0.14%,Jun,Jun,May,Jul,Jul,May,Aug,Aug,Apr,Oct,Jan,Jun,Feb,Aug,Dec,Jul,Jul,Sep,Jul,Mar,0
6/27/1979,-0.85%,Jun,Jul,May,Jul,Jul,May,Aug,Aug,Apr,Oct,Jan,Oct,Mar,Aug,Dec,Jul,Jul,Sep,Jun,Mar,0
6/28/1979,0.12%,Jun,Jul,May,Jul,Jul,May,Aug,Aug,Apr,Oct,Jan,Jan,Mar,Aug,Dec,Aug,Jul,Sep,Jun,Feb,0
6/29/1979,-2.09%,Jun,Aug,May,Jul,Jul,May,Aug,Aug,Apr,Oct,Jan,May,Mar,Aug,Dec,Aug,Jul,Sep,Jun,Feb,-1
6/30/1979,0.58%,Jun,Aug,May,Jul,Jul,May,Aug,Aug,Apr,Oct,Feb,Sep,Mar,Aug,Dec,Aug,Jul,Sep,Jun,Feb,0
7/3/1979,1.80%,Jun,Sep,May,Jul,Jul,Jun,Aug,Aug,Apr,Oct,Feb,Jul,Apr,Sep,Dec,Oct,Jul,Sep,Jun,Feb,1
7/4/1979,-0.41%,Jun,Oct,May,Jul,Jul,Jun,Aug,Aug,Apr,Oct,Mar,Nov,Apr,Sep,Dec,Oct,Jul,Sep,May,Feb,0
7/5/1979,0.76%,Jun,Oct,May,Jul,Jul,Jun,Aug,Aug,Apr,Oct,Mar,Mar,Apr,Sep,Dec,Oct,Jul,Sep,May,Feb,0
7/6/1979,1.68%,Jun,Nov,May,Jul,Jul,Jun,Aug,Aug,Apr,Oct,Mar,Jul,May,Sep,Dec,Nov,Jul,Sep,May,Feb,1
7/7/1979,0.69%,Jun,Nov,May,Jul,Jul,Jun,Aug,Aug,Apr,Oct,Apr,Nov,May,Sep,Dec,Nov,Aug,Sep,May,Feb,0
7/10/1979,-0.83%,Jun,Dec,May,Jul,Jul,Jun,Aug,Aug,Apr,Oct,Apr,Nov,May,Aug,Dec,Dec,Aug,Sep,Apr,Feb,0
7/11/1979,0.92%,Jun,Jan,May,Jul,Jul,Jun,Aug,Aug,Apr,Oct,May,Mar,Jun,Aug,Dec,Dec,Aug,Sep,Apr,Feb,0
7/12/1979,-0.07%,Jun,Jan,May,Jul,Jul,Jun,Aug,Aug,Apr,Oct,May,Jul,Jun,Aug,Dec,Jan,Aug,Sep,Apr,Feb,0
7/13/1979,0.16%,Jun,Feb,May,Jul,Jul,Jun,Aug,Aug,Apr,Oct,May,Dec,Jun,Aug,Jan,Jan,Aug,Sep,Apr,Feb,0
7/14/1979,-1.13%,Jun,Feb,May,Jul,Jul,Jun,Aug,Aug,Apr,Oct,Jun,Apr,Jun,Aug,Jan,Jan,Aug,Sep,Apr,Feb,-1
7/17/1979,1.86%,Jun,Apr,May,Jul,Jul,Jun,Aug,Aug,Mar,Oct,Jun,May,Jul,Jul,Jan,Mar,Aug,Aug,Mar,Feb,1
7/18/1979,1.20%,Jul,Apr,May,Jul,Jul,Jun,Aug,Aug,Mar,Oct,Jul,Sep,Jul,Jul,Jan,Mar,Aug,Aug,Mar,Feb,1
7/19/1979,1.97%,Jul,May,May,Jul,Jul,Jun,Aug,Aug,Mar,Oct,Jul,Jan,Jul,Jul,Jan,Mar,Aug,Aug,Mar,Feb,1
7/20/1979,-0.99%,Jul,May,May,Jun,Jul,Jun,Aug,Aug,Mar,Oct,Jul,May,Jul,Jun,Jan,Apr,Aug,Aug,Mar,Feb,0
7/21/1979,-0.13%,Jul,May,May,Jun,Jul,Jun,Aug,Aug,Mar,Oct,Aug,Sep,Aug,Jun,Jan,Apr,Aug,Aug,Mar,Feb,0
7/24/1979,2.06%,Jul,Jul,May,Jun,Jul,Jun,Aug,Aug,Mar,Oct,Aug,Aug,Aug,Jun,Jan,May,Aug,Aug,Feb,Feb,1
7/25/1979,0.11%,Jul,Jul,May,Jun,Jul,Jun,Aug,Aug,Mar,Oct,Sep,Dec,Aug,Jun,Jan,May,Aug,Aug,Feb,Feb,0
7/26/1979,-0.62%,Jul,Aug,May,Jun,Jul,Jun,Aug,Aug,Mar,Oct,Sep,Apr,Sep,Jun,Jan,Jun,Aug,Aug,Feb,Feb,0
7/27/1979,0.61%,Jul,Aug,May,Jun,Jul,Jun,Aug,Aug,Mar,Oct,Sep,Jul,Sep,Jun,Feb,Jun,Aug,Aug,Feb,Feb,0
7/28/1979,0.20%,Jul,Aug,May,Jun,Jul,Jul,Aug,Aug,Mar,Oct,Oct,Nov,Sep,Jun,Feb,Jul,Aug,Aug,Feb,Feb,0
7/31/1979,-1.44%,Jul,Oct,Jun,Jun,Jul,Jul,Aug,Aug,Mar,Oct,Oct,Oct,Oct,Jun,Feb,Aug,Aug,Aug,Jan,Feb,-1
